№,Name,Info,Img
#,name,info,img
1,"В Кара-Суу задержали мужчину, распространявшего материалы террористической организации","В Кара-Суу задержали мужчину, распространявшего в соцсетях материалы террористической организации. Об этом сообщили в пресс-службе УВД Ошской области.Известно, что сотрудники Службы по борьбе с экстремизмом и незаконной миграцией в ходе мониторинга соцсетей обнаружили, что неизвестный распространяет материалы, которые имеют связь с террористической организацией.Была начата доследственная проверка. На основании собранных материалов и заключения соответствующей экспертизы было установлено, что распространяемые в соцсетях материалы относятся к террористической организации ""Исламское движение Узбекистана"", деятельность которой запрещена на территории Кыргызстана. 






                    В Кара-Суу задержали мужчину, распространявшего материалы террористической организации. Фото: пресс-служба УВД Ошской области.                


Возбуждено уголовное дело по статье ""Изготовление, распространение экстремистских материалов"" УК КР. Была установлена личность подозреваемого - им оказался уроженец Базар-Коргонского района Джалал-Абадской области И. у. И., 2001 года рождения. В настоящее время он задержан.Продолжаются поиски других граждан, которые причастны к этому делу.",
#,name,info,img
1,В итальянском ресторане в Оше вспыхнул крупный пожар (видео),"В Оше в итальянском ресторане вспыхнул крупный пожар. Об этом сообщили в пресс-службе МЧС.Известно, что 11 февраля в 18:00 в дежурную часть поступила информация о пожаре в ресторане на улице Курманджан Датки. На место выехали четыре пожарных расчета.В 18:50 пожар удалось локализовать, а в 20:26 его полностью потушили.Судя по видео, пожар вспыхнул в ресторане Basilicco.",
#,name,info,img
1,"Тилекмат Куренов заявил, что на него совершили покушение в США","Активист Тилекмат Куренов, который в настоящее время находится в США, сообщил о совершенном покушении на него неизвестными. На своей странице в соцсетях он опубликовал фото и видео с места инцидента.Сотрудникам полиции он рассказал, что ехал на работу, а двое мужчин на автомобиле, стоящем вдоль дороги, ждали его. После чего они перекрыли проезд и, угрожая оружием, заставляли выйти из машины.Тилекмат Куренов также провел получасовую трансляцию в соцсетях, где сообщил о некоторых деталях покушения. Судя по заднему фону, трансляцию он вел из полицейского участка.Он рассказал, что нападавших было двое - мужчины азиатской внешности, которые разговаривали с ним на русском языке. Из-за темноты полностью смог разглядеть лишь одного - его описание он передал сотрудникам полиции. Нападавшие якобы подстрелили автомобиль. Они сбежали до приезда сотрудников полиции.Куренов считает, что таким образом его пытались похитить. Он также заявил, что в США ежегодно происходят тысячи покушений и убийств, однако, как он считает, это покушение не было стандартным случаем, а было преднамеренным и имеет политическую подоплеку из-за его деятельности. Другие детали инцидента Куренов не рассказал. 






                    Место инцидента. Фото: Тилекмат Куренов.                


Отметим, что последние несколько лет Тилекмат Куренов критиковал действия властей Кыргызстана. В 2021 году он выступал против изменения Конституции и разработки месторождения Жетим-Тоо. В марте того же года активиста задержали и заключили под стражу - суд признал его виновным в публичных призывах к насильственному захвату власти и назначил наказание в виде лишения свободы на 1,5 года.По теме:Имамидин Ташов: Меня похитили, представились сотрудниками ГКНБ,  требовали 100 млн (видео)После освобождения активист покинул Кыргызстан ""из-за политических гонений и опасаясь снова оказаться в тюрьме"". Куренов являлся членом комитета по защите Кемпир-Абада и выступал против передачи водохранилища Узбекистану. Активист, кроме этого, участвовал в акциях протеста в поддержку задержанных по кемпир-абадскому делу, которые проходили в США.10 января 2024 года ГКНБ объявил в розыск Тилекмата Куренова и учредителя компании KG Group Имамидина Ташова. Правоохранительные органы подозревают их в ""насильственном захвате власти"". Также в ГКНБ заявляли о задержании ""активных сподвижников"" Ташова и Куренова.По теме:В Бишкеке начались задержания сторонников Тилекмата Куренова (фото)26 января Тилекмат Куренов выступил с видеообращением, в котором заявил, что больше не будет критиковать власть. По словам Куренова, такое решение он принял в связи со сложившейся в его жизни ситуацией. Однако во время трансляции в соцсетях 11 февраля он заявил, что прекратил критику властей после того, как правоохранительные органы задержали младшую сестру жены. Он добавил, что власти сделали все, чтобы испортить его отношения с родственниками.",
#,name,info,img
1,"Прогноз погоды в Бишкеке на  неделю, с 12 февраля","Штормовое предупреждениеВ связи со сложившийся метеорологической обстановкой  12 февраля в горных районах Кыргызстана, на автодорогах Бишкек - Ош, 121-138 км (перевал Тоо-Ашуу), 198-260 км (перевал Ала-Бель, ущелье Чычкан), ожидаются сход лавин, снежные заносы, накат и гололедные явления. На автодорогах при проезде лавиноопасных участков необходимо строго соблюдать дистанцию между транспортными средствами в 500 метров.По теме:Будет ли февраль-2024 ❄️ теплее, чем обычно? Прогноз погоды по КыргызстануБишкек12 февраля, понедельник Ночью -1...+1 °C, без осадков. Ветер западный 4-9 м/с с усилением до 14 м/с.Днем +2...+4 °C, утром и в первой половине дня возможен слабый дождь, во второй половине дня дождь, снег. Утром и днем туман. Ветер западный 4-9 м/с. 13 февраля, вторник Ночью 0...-2 °C, снег. Ветер западный 4-9 м/с. Днем +7...+9 °C, без осадков. Ветер западный 4-9 м/с. По теме:+25 (!) 🌞 и -34 ❄️  Температурные рекорды февраля в Бишкеке (графики)  14 февраля, среда Ночью 0...+2 °C, без осадков. Ветер западный 4-9 м/с. Днем +11...+13 °C, без осадков. Ветер западный 4-9 м/с.  15 февраля, четверг Ночью +2...+4 °C, без осадков. Ветер западный 4-9 м/с. Днем +13...+15 °C, без осадков. Ветер западный 4-9 м/с.  16 февраля, пятница Ночью +2...+4 °C, без осадков. Ветер западный 4-9 м/с. Днем +4...+6 °C, дождь. Ветер западный 4-9 м/с.  17 февраля, субботаНочью -6...-8 °C, временами снег. Ветер западный 4-9 м/с. Днем -2...-4 °C, временами снег. Ветер западный 4-9 м/с.  18 февраля, воскресеньеНочью -9...-11 °C, временами снег. Ветер западный 4-9 м/с. Днем -1...-3 °C, временами снег. Ветер западный 4-9 м/с. Ориентировочный прогноз погоды по Кыргызстану на 19-20 февраля 19 февраля местами снег. Днем без осадков. 20 февраля без осадков. Температура воздуха существенно не изменится.Прогноз погоды на 12-18 февраля Чуйская область 12 февраля ночью местами дождь, снег, в горных районах снег. Днем на большей части территории дождь, снег. Утром и днем местами туман. 13 февраля ночью и утром на большей части территории снег. Днем без осадков. 14-15 февраля и 16 февраля ночью без осадков. 16 февраля днем на большей части территории дождь, снег.17 февраля ночью на большей части территории временами снег. 17 февраля днем и 18 февраля ночью местами снег. 18 февраля днем местами дождь, снег. На дорогах снежный накат, гололедица. Ветер западный 4-9 м/с, 12 февраля ночью и 16 февраля местами с усилением до 15-20 м/с.Свернуть Таласская область 12 февраля ночью без осадков. Днем на большей части территории снег. Утром и днем местами туман. 13 февраля ночью и утром местами снег. Днем без осадков. 14-15 февраля и 16 февраля ночью без осадков. 16 февраля днем на большей части территории дождь, снег.17 февраля ночью на большей части территории временами снег. 17 февраля днем и 18 февраля местами снег. На дорогах снежный накат, гололедица. Ветер западный 4-9 м/с, 12 февраля ночью и 16 февраля местами с усилением до 15-20 м/с.Свернуть Ошская область 12 февраля ночью без осадков. Днем в предгорных районах дождь, в горных районах снег, в долинной зоне без осадков. 13 февраля ночью и утром местами снег. Днем без осадков. 14-15 февраля и 16 февраля ночью без осадков. 16 февраля днем местами дождь, в горных районах снег.17 февраля ночью на большей части территории временами снег. Днем на большей части территории дождь, в горных районах снег.18 февраля ночью на большей части территории снег. Днем местами дождь, снег. На дорогах снежный накат, гололедица. Ветер западный 4-9 м/с, 12 февраля ночью и 16 февраля местами с усилением до 15-20 м/с.Свернуть Джалал-Абадская область 12 февраля ночью без осадков. Днем в предгорных районах дождь, в горных районах снег, в долинной зоне без осадков. 13 февраля ночью и утром местами снег. Днем без осадков. 14-15 февраля и 16 февраля ночью без осадков. 16 февраля днем местами дождь, в горных районах снег.17 февраля ночью на большей части территории временами дождь, снег. Днем на большей части территории дождь, в горных районах снег.18 февраля ночью на большей части территории снег. Днем местами дождь, снег. На дорогах снежный накат, гололедица. Ветер западный 4-9 м/с, 12 февраля ночью и 16 февраля местами с усилением до 15-20 м/с.Свернуть Баткенская область 12 февраля ночью без осадков. Днем в предгорных районах дождь, в горных районах снег, в долинной зоне без осадков. 13-14 февраля без осадков. 15 февраля и 16 февраля без осадков. 17 февраля ночью на большей части территории временами дождь, снег. Днем на большей части территории дождь, в горных районах снег.18 февраля ночью на большей части территории снег. Днем местами дождь, снег. На дорогах снежный накат, гололедица. Ветер западный 4-9 м/с, 12 февраля ночью и 16 февраля местами с усилением до 15-20 м/с.Свернуть Иссык-Кульская область 12 февраля ночью без осадков. Днем местами дождь,снег, в горных районах снег. 13 февраля ночью и утром на большей части территории, днем местами дождь, снег, в горных районах снег. 14-15 февраля и 16 февраля ночью без осадков. 16 февраля днем на большей части территории дождь, снег, в горных районах снег.17 февраля и 18 февраля ночью на большей части территории снег. 18 февраля днем местами снег. На дорогах снежный накат, гололедица. Ветер западный 4-9 м/с, 12 февраля ночью и 13-16 февраля местами с усилением до 15-20 м/с.Свернуть Нарынская область 12 февраля ночью без осадков. Днем местами снег. 13 февраля ночью и утром на большей части территории, днем местами снег.14-15 февраля и 16 февраля ночью без осадков. 16 февраля днем, 17 февраля и 18 февраля ночью на большей части территории снег. 18 февраля днем местами снег. На дорогах снежный накат, гололедица. Ветер западный 4-9 м/с, 12 февраля ночью и 16 февраля местами с усилением до 15-20 м/с. Свернуть Фото на главной странице: flomaster.top.",
#,name,info,img
1,Женская национальная сборная Кыргызстана по футзалу завоевала бронзу чемпионата CAFA,"Сегодня, 11 февраля, в Душанбе проходят матчи заключительного тура чемпионата Центрально-Азиатской футбольной Ассоциации - CAFA Women""s Futsal Championship 2024, в рамках которого женская национальная сборная Кыргызстана по футзалу сыграла с Узбекистаном. Как сообщили в Кыргызском футбольном союзе, встреча завершилась проигрышем нашей сборной со счетом 2:8. 






                    Женская национальная сборная Кыргызстана по футзалу завоевала бронзу чемпионата CAFA. Фото: пресс-служба КФС.                


Несмотря на результат предстоящего матча Таджикистан - Иран, подопечные Келкеля Анарбекова с шестью очками остаются на третьем месте турнирной таблицы и становятся обладателями бронзовых медалей.",
